title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,id_y,rating,genre,director,writer,runtime
Inception,WB,292600000.0,535700000,2010,38,"Jul 16, 2010",Inception,"$160,000,000","$292,576,195","$835,524,642",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Due Date,WB,100500000.0,111200000,2010,84,"Nov 5, 2010",Due Date,"$65,000,000","$100,539,043","$211,739,043",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Yogi Bear,WB,100200000.0,101300000,2010,62,"Dec 17, 2010",Yogi Bear,"$80,000,000","$100,246,011","$204,774,690",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
The Book of Eli,WB,94800000.0,62300000,2010,64,"Jan 15, 2010",The Book of Eli,"$80,000,000","$94,835,059","$158,750,817",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
The Town,WB,92200000.0,61800000,2010,92,"Sep 17, 2010",The Town,"$37,000,000","$92,186,262","$152,566,881",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000,2010,90,"Sep 24, 2010",Legend of the Guardians: The Owls of Ga'Hoole,"$100,000,000","$55,675,313","$139,716,717",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000,2010,17,"Jul 30, 2010",Cats & Dogs: The Revenge of Kitty Galore,"$85,000,000","$43,585,753","$113,026,383",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Life as We Know It,WB,53400000.0,52300000,2010,64,"Oct 8, 2010",Life as We Know It,"$38,000,000","$53,374,681","$105,887,837",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Hereafter,WB,32700000.0,72500000,2010,61,"Oct 15, 2010",Hereafter,"$50,000,000","$32,746,941","$108,660,270",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Edge of Darkness,WB,43300000.0,37800000,2010,8,"Jan 29, 2010",Edge of Darkness,"$60,000,000","$43,313,890","$82,812,456",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Cop Out,WB,44900000.0,10700000,2010,99,"Feb 26, 2010",Cop Out,"$37,000,000","$44,875,481","$55,909,910",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
The Losers,WB,23600000.0,5800000,2010,44,"Apr 23, 2010",The Losers,"$25,000,000","$23,591,432","$29,863,840",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Splice,WB,17000000.0,9800000,2010,63,"Jun 4, 2010",Splice,"$30,000,000","$17,010,170","$28,542,494",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Jonah Hex,WB,10500000.0,356000,2010,40,"Jun 18, 2010",Jonah Hex,"$47,000,000","$10,547,117","$11,022,696",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Flipped,WB,1800000.0,,2010,22,"Aug 6, 2010",Flipped,"$14,000,000","$1,755,212","$4,289,993",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
The Hangover Part II,WB,254500000.0,332300000,2011,39,"May 26, 2011",The Hangover Part II,"$80,000,000","$254,464,305","$586,464,305",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Sherlock Holmes: A Game of Shadows,WB,186800000.0,358600000,2011,69,"Dec 16, 2011",Sherlock Holmes: A Game of Shadows,"$125,000,000","$186,848,418","$535,663,443",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
Green Lantern,WB,116600000.0,103300000,2011,62,"Jun 17, 2011",Green Lantern,"$200,000,000","$116,601,172","$219,535,492",611,R,Drama|Mystery and Suspense,Clint Eastwood,Brian Helgeland,137 minutes
